,word,frequency,Tag of word,,,,feature,,,,
499, cannondale,71,"(' cannondale', 'NNP')",,,,,,,,
500, r,71,"(' r', 'NNP')",,,,,,,,
501, instruction,71,"(' instruction', 'NNP')",,,,,,,,
502, bar,71,"(' bar', 'NNP')",,,,,,,,
503, tape,71,"(' tape', 'NNP')",,,,,,,,
504, match,71,"(' match', 'NNP')",,,,,,,,
505, vintage,71,"(' vintage', 'NNP')",,,,,,,,
506, mountainous,71,"(' mountainous', 'JJ')",,,,,,,,
507, metric,71,"(' metric', 'NNP')",,,,,,,,
508, absolutely,71,"(' absolutely', 'RB')",,,,,,,,
509, route,71,"(' route', 'JJ')",,,,,,,,
510, remember,71,"(' remember', 'NNP')",,,,,,,,
511, riide,71,"(' riide', 'NNP')",,,,,,,,
512, exist,71,"(' exist', 'NNP')",,,,,,,,
513, jean,71,"(' jean', 'NNP')",,,,,,,,
514, imho,71,"(' imho', 'NNP')",,,,,,,,
515, ridiculous,71,"(' ridiculous', 'JJ')",,,,,,,,
516, official,71,"(' official', 'JJ')",,,,,,,,
517, daughter,71,"(' daughter', 'NN')",,,,,,,,
518, intend,71,"(' intend', 'VBP')",,,,,,,,
519, baseball,71,"(' baseball', 'DT')",,,,,,,,
520, glove,71,"(' glove', 'NNP')",,,,,,,,
521, nokona,71,"(' nokona', 'NNP')",,,,,,,,
522, rub,71,"(' rub', 'NNP')",,,,,,,,
523, add,71,"(' add', 'NNP')",,,,,,,,
524, occasionally,71,"(' occasionally', 'RB')",,,,,,,,
525, sweating,71,"(' sweating', 'VBG')",,,,,,,,
526, okay,71,"(' okay', 'NNP')",,,,,,,,
527, proofhide,71,"(' proofhide', 'NNP')",,,,,,,,
528, ultimately,71,"(' ultimately', 'RB')",,,,,,,,
529, charity,71,"(' charity', 'NNP')",,,,,,,,
530, numerous,71,"(' numerous', 'JJ')",,,,,,,,
531, gift,71,"(' gift', 'NNP')",,,,,,,,
532, rid,71,"(' rid', 'NNP')",,,,,,,,
533, prevent,71,"(' prevent', 'NNP')",,,,,,,,
534, speed,71,"(' speed', 'VBD')",,,,,,,,
535, fast,71,"(' fast', 'NNP')",,,,,,,,
536, support,71,"(' support', 'NNP')",,,,,,,,
537, mountain,71,"(' mountain', 'NNP')",,,,,,,,
538, avide,71,"(' avide', 'NNP')",,,,,,,,
539, young,71,"(' young', 'NNP')",,,,,,,,
540, feed,71,"(' feed', 'NNP')",,,,,,,,
541, kill,71,"(' kill', 'NNP')",,,,,,,,
542, rail,40,"(' rail', 'NNP')",,,,,,,,
543, star,35,"(' star', 'NNP')",,,,,,,,
544, warranty,35,"(' warranty', 'NNP')",,,,,,,,
545, hundred,25,"(' hundred', 'NNP')",,,,,,,,
546, should,20,"(' should', 'NNP')",,,,,,,,
547, update,20,"(' update', 'NNP')",,,,,,,,
548, giant,15,"(' giant', 'NNP')",,,,,,,,
549, claim,15,"(' claim', 'NNP')",,,,,,,,
550, maybe,15,"(' maybe', 'NNP')",,,,,,,,
551, original,15,"(' original', 'NNP')",,,,,,,,
552, see,15,"(' see', 'NNP')",,,,,,,,
553, quality,10,"(' quality', 'NNP')",,,,,,,,
554, beautiful,10,"(' beautiful', 'NNP')",,,,,,,,
555, care,10,"(' care', 'NNP')",,,,,,,,
556, rating,10,"(' rating', 'VBG')",,,,,,,,
557, bad,10,"(' bad', 'NNP')",,,,,,,,
558, because,10,"(' because', 'NNP')",,,,,,,,
559, happen,10,"(' happen', 'NNP')",,,,,,,,
560, again,10,"(' again', 'NNP')",,,,,,,,
561, wait,10,"(' wait', 'NNP')",,,,,,,,
562, else,10,"(' else', 'NNP')",,,,,,,,
563, sell,10,"(' sell', 'NNP')",,,,,,,,
564, prior,10,"(' prior', 'NNP')",,,,,,,,
565, small,10,"(' small', 'NNP')",,,,,,,,
566, file,10,"(' file', 'NNP')",,,,,,,,
567, favorable,10,"(' favorable', 'JJ')",,,,,,,,
568, honor,10,"(' honor', 'NNP')",,,,,,,,
569, design,10,"(' design', 'NNP')",,,,,,,,
570, may,10,"(' may', 'NNP')",,,,,,,,
571, impression,10,"(' impression', 'NNP')",,,,,,,,
572, base,10,"(' base', 'NNP')",,,,,,,,
573, least,10,"(' least', 'NNP')",,,,,,,,
574, ten,10,"(' ten', 'NNP')",,,,,,,,
575, four,10,"(' four', 'NNP')",,,,,,,,
576, wax,10,"(' wax', 'NNP')",,,,,,,,
577, love,10,"(' love', 'NNP')",,,,,,,,
578, wonder,5,"(' wonder', 'NNP')",,,,,,,,
579, collapse,5,"(' collapse', 'NNP')",,,,,,,,
580, split,5,"(' split', 'NNP')",,,,,,,,
581, impressed,5,"(' impressed', 'VBD')",,,,,,,,
582, simply,5,"(' simply', 'NNP')",,,,,,,,
583, lb,5,"(' lb', 'NNP')",,,,,,,,
584, stick,5,"(' stick', 'NNP')",,,,,,,,
585, rather,5,"(' rather', 'NNP')",,,,,,,,
586, envelope,5,"(' envelope', 'NNP')",,,,,,,,
587, enough,5,"(' enough', 'IN')",,,,,,,,
588, accomplish,5,"(' accomplish', 'JJ')",,,,,,,,
589, job,5,"(' job', 'NNP')",,,,,,,,
590, approx,5,"(' approx', 'NNP')",,,,,,,,
591, solemnly,5,"(' solemnly', 'RB')",,,,,,,,
592, substance,5,"(' substance', 'RB')",,,,,,,,
593, riding,5,"(' riding', 'VBG')",,,,,,,,
594, imagine,5,"(' imagine', 'JJ')",,,,,,,,
595,purchase,5,"('purchase', 'NN')",,,,,,,,
596, point,5,"(' point', 'NN')",,,,,,,,
597, sorry,5,"(' sorry', 'NNP')",,,,,,,,
598, later,5,"(' later', 'NNP')",,,,,,,,
599, cloud,5,"(' cloud', 'NNP')",,,,,,,,
600, principle,5,"(' principle', 'NNP')",,,,,,,,
601, honestly,5,"(' honestly', 'RB')",,,,,,,,
602, understand,5,"(' understand', 'VBP')",,,,,,,,
603, fear,5,"(' fear', 'JJ')",,,,,,,,
604, result,5,"(' result', 'NN')",,,,,,,,
605, redo,5,"(' redo', 'NNP')",,,,,,,,
606, avoid,5,"(' avoid', 'NNP')",,,,,,,,
607, hope,5,"(' hope', 'NNP')",,,,,,,,
608, yeilde,5,"(' yeilde', 'NNP')",,,,,,,,
609, instruct,5,"(' instruct', 'NN')",,,,,,,,
610, saddles,5,"(' saddles', 'VBZ')",,,,,,,,
611, money,5,"(' money', 'NNP')",,,,,,,,
612,great,5,"('great', 'JJ')",,,,,,,,
613, water,5,"(' water', 'NNP')",,,,,,,,
614, praise,5,"(' praise', 'NNP')",,,,,,,,
615, butter,5,"(' butter', 'NNP')",,,,,,,,
616, traction,5,"(' traction', 'NN')",,,,,,,,
617, cost,5,"(' cost', 'NNP')",,,,,,,,
618, km,5,"(' km', 'NNP')",,,,,,,,
619, sensitive,5,"(' sensitive', 'NNP')",,,,,,,,
620, wouldnt,5,"(' wouldnt', 'NNP')",,,,,,,,
621, material,5,"(' material', 'NNP')",,,,,,,,
622, protect,5,"(' protect', 'NNP')",,,,,,,,
623, talk,5,"(' talk', 'NNP')",,,,,,,,
624, into,5,"(' into', 'NNP')",,,,,,,,
625, everyone,5,"(' everyone', 'NNP')",,,,,,,,
626, pay,5,"(' pay', 'NNP')",,,,,,,,
627, nicely,5,"(' nicely', 'RB')",,,,,,,,
628, narrow,5,"(' narrow', 'VBP')",,,,,,,,
629, cambium,5,"(' cambium', 'JJ')",,,,,,,,
630, enjoy,5,"(' enjoy', 'NNP')",,,,,,,,
631, struggle,5,"(' struggle', 'NNP')",,,,,,,,
632, rear,5,"(' rear', 'NNP')",,,,,,,,
633, spend,5,"(' spend', 'NNP')",,,,,,,,
634, manage,5,"(' manage', 'NN')",,,,,,,,
635, slippery,5,"(' slippery', 'NN')",,,,,,,,
636, truly,5,"(' truly', 'NNP')",,,,,,,,
637,aesthetically,5,"('aesthetically', 'RB')",,,,,,,,
638, crack,5,"(' crack', 'NNP')",,,,,,,,
639, provide,5,"(' provide', 'NNP')",,,,,,,,
640, somewhat,5,"(' somewhat', 'NNP')",,,,,,,,
641, speak,5,"(' speak', 'NNP')",,,,,,,,
642, aged,5,"(' aged', 'VBD')",,,,,,,,
643, however,5,"(' however', 'RB')",,,,,,,,
644, obviously,5,"(' obviously', 'RB')",,,,,,,,
645, tighten,5,"(' tighten', 'JJ')",,,,,,,,
646, maintenance,5,"(' maintenance', 'NNP')",,,,,,,,
647, pre,5,"(' pre', 'NNP')",,,,,,,,
648, adjustment,5,"(' adjustment', 'NNP')",,,,,,,,
649, slightly,5,"(' slightly', 'RB')",,,,,,,,
650, hump,5,"(' hump', 'VBZ')",,,,,,,,
651, middle,5,"(' middle', 'JJ')",,,,,,,,
652, mind,5,"(' mind', 'NN')",,,,,,,,
653, inclined,5,"(' inclined', 'VBD')",,,,,,,,
654, loosen,5,"(' loosen', 'NNP')",,,,,,,,
655, bolt,5,"(' bolt', 'NNP')",,,,,,,,
656, current,5,"(' current', 'NNP')",,,,,,,,
657, reduce,5,"(' reduce', 'NNP')",,,,,,,,
658, three,5,"(' three', 'NNP')",,,,,,,,
659, complain,5,"(' complain', 'NNP')",,,,,,,,
660, d,5,"(' d', 'NNP')",,,,,,,,
661, figure,5,"(' figure', 'NNP')",,,,,,,,
662, solution,5,"(' solution', 'NNP')",,,,,,,,
663, shaped,5,"(' shaped', 'VBD')",,,,,,,,
664, hammock,5,"(' hammock', 'NNP')",,,,,,,,
665, several,5,"(' several', 'NNP')",,,,,,,,
666, unable,5,"(' unable', 'JJ')",,,,,,,,
667, coño,5,"(' coño', 'NNP')",,,,,,,,
668, twenty,5,"(' twenty', 'NNP')",,,,,,,,
669, usually,5,"(' usually', 'RB')",,,,,,,,
670, above,5,"(' above', 'NNP')",,,,,,,,
671, write,5,"(' write', 'NNP')",,,,,,,,
672, expectation,5,"(' expectation', 'NNP')",,,,,,,,
673, number,5,"(' number', 'NNP')",,,,,,,,
674, reviewer,5,"(' reviewer', 'NNP')",,,,,,,,
675, here,5,"(' here', 'NNP')",,,,,,,,
676, decent,5,"(' decent', 'NNP')",,,,,,,,
677, believe,5,"(' believe', 'NNP')",,,,,,,,
678, recently,5,"(' recently', 'RB')",,,,,,,,
679,receive,5,"('receive', 'VBP')",,,,,,,,
680, pliable,5,"(' pliable', 'JJ')",,,,,,,,
681, entire,5,"(' entire', 'NN')",,,,,,,,
682, tin,5,"(' tin', 'NN')",,,,,,,,
683, render,5,"(' render', 'NN')",,,,,,,,
684, following,5,"(' following', 'VBG')",,,,,,,,
685, follow,5,"(' follow', 'JJ')",,,,,,,,
686, state,5,"(' state', 'NN')",,,,,,,,
687, lose,5,"(' lose', 'NNP')",,,,,,,,
688, concern,5,"(' concern', 'NNP')",,,,,,,,
689, certainly,5,"(' certainly', 'RB')",,,,,,,,
690, fix,5,"(' fix', 'VBZ')",,,,,,,,
691, due,5,"(' due', 'JJ')",,,,,,,,
692, likely,5,"(' likely', 'RB')",,,,,,,,
693, feature,5,"(' feature', 'JJ')",,,,,,,,
694, offer,5,"(' offer', 'VBP')",,,,,,,,
695, amazon,5,"(' amazon', 'JJ')",,,,,,,,
696, mention,5,"(' mention', 'NN')",,,,,,,,
697, unusable,5,"(' unusable', 'JJ')",,,,,,,,
698, breaking,5,"(' breaking', 'VBG')",,,,,,,,
699, container,5,"(' container', 'NN')",,,,,,,,
700, receive,5,"(' receive', 'JJ')",,,,,,,,
701, def,5,"(' def', 'NN')",,,,,,,,
702, save,5,"(' save', 'VBP')",,,,,,,,
703, ounce,5,"(' ounce', 'NN')",,,,,,,,
704, buck,5,"(' buck', 'JJ')",,,,,,,,
705, customer,5,"(' customer', 'NNP')",,,,,,,,
706, gouge,5,"(' gouge', 'NNP')",,,,,,,,
707, please,5,"(' please', 'NNP')",,,,,,,,
708, supply,5,"(' supply', 'NNP')",,,,,,,,
709, expensive,5,"(' expensive', 'JJ')",,,,,,,,
710, suggestion,5,"(' suggestion', 'NN')",,,,,,,,
711, nothing,5,"(' nothing', 'VBG')",,,,,,,,
712, send,5,"(' send', 'JJ')",,,,,,,,
713, paraffin,5,"(' paraffin', 'CD')",,,,,,,,
714, properly,5,"(' properly', 'RB')",,,,,,,,
